"ID";"RestaurantID";"FileName";"PictureIntro"
104;36;"44ec842e-973f-4c1b-b9c3-b9b1e9e02e7f.jpg";""
105;37;"ce070b22-b2a4-4219-8642-864915ed6f5b.jpg";"行政酒廊"
106;37;"1468bfa3-90dc-4dc5-9125-0ac5f8ea014f.jpg";""
107;38;"f0366a24-ba1a-483a-bd15-d2db68296ffd.jpg";"百味园"
108;38;"7f3ef570-521a-4766-b374-7007ca2cafda.jpg";"百味园"
109;38;"d2239eca-a4ee-43e7-840c-794f12e21ab6.jpg";"百味园"
110;38;"4e5ae8be-6448-4455-8c32-c9de488c0705.jpg";"百味园"
111;38;"b076839a-68e1-44aa-8048-38aa7ecbddf0.jpg";"百味园"
112;39;"81877db1-f48d-4937-8330-a3cafce56eec.jpg";"Pelham&apos;s餐厅"
113;39;"fef50574-d923-474a-a518-8e535d8e258f.jpg";"Pelham&apos;s餐厅"
114;39;"534df74e-2d7a-4438-838c-42e6db2d0a97.jpg";"Pelham&apos;s餐厅"
115;40;"168430b8-aafb-40d2-b92e-8f5a1521f663.jpg";"蔚景阁中餐厅"
116;40;"0f55b8d7-fc58-4d8e-bb10-63f287b6909a.jpg";"蔚景阁中餐厅"
117;41;"55491c06-e49d-43e9-be93-6d066ad65f10.jpg";"廊吧"
118;41;"5f6df1af-1b19-4d0a-84e1-c49281f02c23.jpg";"廊吧"
119;42;"ab942667-6642-4312-9bb8-506230a3fd13.jpg";"浦江汇"
120;42;"d6974176-24c2-4504-b9b6-bb503b0acfc4.jpg";"浦江汇"
121;43;"e9bd4350-6558-4ede-bd5c-26445d4cfa9c.jpg";"羿庭"
122;43;"a5945641-b5ae-4e9d-90eb-ed122ba28a06.jpg";"羿庭"
123;43;"6c31aa70-f32e-48d0-8174-7798b6afd78c.jpg";"羿庭"
124;43;"230bf108-c8b2-4edf-bbeb-e208bbd04037.jpg";"羿庭"
125;43;"1bc5a7bb-2f81-4c51-8b14-741acef1e9ac.jpg";"羿庭"
126;44;"f078a98c-bf74-4988-a918-128c758695e5.jpg";"晶水坊"
127;45;"0aa2925a-2265-48bc-9170-f3a8e9744e4e.jpg";"咖啡厅"
128;46;"430d824e-74cd-4652-b6fa-1539b4980db2.jpg";"大堂酒廊"
129;47;"f6173f4b-1b10-47b4-bd72-994579e3e5c1.jpg";"金叶庭"
130;47;"02836a43-74d3-4f37-a445-b0c1d411545b.png";"金叶庭 - 姜蓉米酒蒸蟹钳"
131;47;"de627c88-14a0-4e4e-a759-9ab143879f21.jpg";"金叶庭 - 山楂川汁爆蝦球"
132;48;"cac3cd52-9690-420a-9322-507ffc8d9e8b.jpg";"怀欧叙"
133;48;"6163be2f-71d9-4982-ad14-fe50562667fa.jpg";"怀欧叙"
134;48;"00479432-d096-4328-8214-7c7a56aa805f.jpg";"怀欧叙 - 法国海鲈鱼配茴香及橄榄"
135;48;"02b6916c-207c-459b-b873-95c75bb25eb1.jpg";"怀欧叙- 海鲜拼盘"
136;49;"bb61f40d-7f69-4f6e-9a43-28501b75215c.jpg";"咖啡园"
137;49;"33e750d3-3cd6-4d14-ba16-555f4c94c856.jpg";"咖啡园"
138;49;"10476ea2-a29a-4ae0-841a-5f6bfba7e6b2.jpg";"咖啡园 - 凯撒沙拉"
139;49;"d8466b04-486d-44f4-8123-f57fb833dd05.jpg";"咖啡园 - 海南鸡饭"
140;49;"604075de-122c-48de-9b4f-dd8bb7b76b00.jpg";"咖啡园 - 传统炸鱼配薯条"
141;50;"9032ed9d-bada-41d4-ad8f-d10e7682ec4d.jpg";"乐聚廊"
142;50;"8642fca2-9171-4a81-8745-a9ecef9acd45.jpg";"乐聚廊 - 咖哩自助午餐"
143;50;"9ef05cf8-c5ab-4d40-a65c-79524b3961eb.jpg";"乐聚廊 - 西式下午茶"
144;50;"6028ea07-b3cb-42d3-b832-00a00e2dcb68.jpg";"乐聚廊 - 週末香烤自助午餐"
145;51;"849e8ac5-747c-4a10-9f1c-7ca377ba322d.jpg";"宝丝吧"
146;52;"6fbe4b39-d5fc-467f-b97d-c9519d455403.jpg";""
147;53;"f9830c91-01ce-4fa6-9652-3dab33430ece.jpg";""
148;54;"cbad2c98-5dd0-4246-ac09-f91e748fa3a5.jpg";""
149;55;"ca40d0ab-0359-4fce-9335-fb5712fde60f.jpg";"醉月厅中餐厅"
150;56;"8f4d5b51-6783-43b9-a0c7-f435502ed06b.jpg";""
151;56;"56ba6db0-b525-4f5a-8420-13f76f086332.jpg";""
152;56;"7305a9ff-a933-4fc5-ac15-91a44ca4e157.jpg";""
